Timestamp,Where do you like to study?,Gender,Do you prefer to study alone ?,How many Hours do you study in one go ?,Do you prefer snacks while studying ?,In which Block you stay?,Do you prefer to study on Bed or Study table?,Which program are you enrolled in ?,Which department are you in ?,Do you prefer Live Lectures or Recording?,Do you prefer to study with Lec recording or Lec slides?,Score
4/5/2022 21:45:19,Your Room,Male,Alone,1-2 Hrs,No,Ramanuja,Both,Undergraduate,Electrical Engineering,Live Lectures,Recording,
4/5/2022 21:46:08,Your Room,Male,Alone,1-2 Hrs,No,Ramanuja,Both,Undergraduate,Physics,Live Lectures,Slides,
4/5/2022 21:46:24,Your Room,Female,Alone,1-2 Hrs,No,Maitreyi,Study Table,Undergraduate,Physics,Recording,Slides,
4/5/2022 21:46:30,Your Room,Male,With a friend,2-3 Hrs,Sometimes,Ramanuja,Study Table,Undergraduate,Mathematics,Both are equally preferable,Slides,
4/5/2022 21:47:04,Your Room,Male,Alone,2-3 Hrs,Sometimes,Brahmagupta,Both,Undergraduate,Artificial Intelligence,Recording,Slides,
4/5/2022 21:47:36,Your Room,Male,Alone,5-6 Hrs,Yes,Ramanuja,Bed,Undergraduate,Mathematics,Recording,Slides,
4/5/2022 21:48:02,Academic Block,Male,With a friend,1-2 Hrs,No,Ramanuja,Bed,Undergraduate,Civil Engineering,Live Lectures,Recording,
4/5/2022 21:48:20,Your Room,Male,Alone,2-3 Hrs,Yes,Ramanuja,Both,Undergraduate,Bio Engineering,Live Lectures,Recording,
4/5/2022 21:50:11,Your Room,Male,Alone,2-3 Hrs,No,Charaka,Study Table,Undergraduate,Chemical Engineering,Both are equally preferable,Slides,
4/5/2022 21:51:27,Your Room,Female,With a friend,1-2 Hrs,Sometimes,,Study Table,Undergraduate,,Live Lectures,Recording,
4/5/2022 21:51:57,Academic Block,Male,Alone,2-3 Hrs,Yes,Ramanuja,Study Table,Undergraduate,Civil Engineering,Recording,Slides,
4/5/2022 21:52:57,Your Room,Female,Alone,1-2 Hrs,No,Bhaskara,Both,Undergraduate,Mathematics,Recording,Recording,
4/5/2022 21:53:37,Your Room,Male,Alone,3-4 Hrs,No,Ramanuja,Study Table,Undergraduate,Mathematics,Live Lectures,Slides,
4/5/2022 21:54:08,Your Room,Male,Alone,2-3 Hrs,No,Ramanuja,Study Table,Undergraduate,Computer Science,Both are equally preferable,Slides,
4/5/2022 21:54:48,Your Friends' room,Male,Prefer Group Study,1-2 Hrs,No,Ramanuja,Bed,Undergraduate,Others,Both are equally preferable,Slides,
4/5/2022 21:58:54,Your Room,Male,Alone,2-3 Hrs,No,Vyasa,Both,PHD,Chemistry,Recording,Slides,
4/5/2022 21:59:55,Your Room,Male,Alone,7-8 Hrs,Sometimes,Varahamira,Study Table,Postgraduate,Electrical Engineering,Live Lectures,Recording,
